Match ID,Team A,Team A xG,Team A Points,Team B,Team B xG,Team B Points
4322877,Bengaluru FC,"[0.01424947939813137, 0, 0.01614575833082199, 0.04213555529713631, 0.12496140599250793, 0.08352738618850708, 0.022230423986911774, 0.031606774777173996, 0.0209793820977211, 0.20625880360603333, 0.10310427844524384]",0,Kerala Blasters FC,"[0.05735497921705246, 0.027154074981808662, 0.05848556384444237, 0.0192571971565485, 0.05251222103834152, 0.016921725124120712, 0.03481300175189972, 0.5756881833076477, 0.025058448314666748]",3
4322862,Chennaiyin FC,"[0.08221558481454849, 0.020173916593194008, 0.12713156640529633, 0.026494404301047325, 0.023586448282003403, 0.028867105022072792, 0.033523768186569214]",0,Odisha FC,"[0.012778188101947308, 0.17669914662837982, 0.011821990832686424, 0.07818827778100967, 0.03822685033082962, 0.1938876062631607, 0.12925653159618378, 0.019085528329014778, 0.01174131315201521]",3
4322861,Mohun Bagan SG,"[0.10242881625890732, 0.2560166120529175, 0.026276465505361557, 0.024257242679595947, 0.24998313188552856, 0.16981624066829681, 0.018554845824837685, 0.5142279267311096, 0.03909188508987427, 0.16713391244411469, 0.012109332717955112, 0.027338672429323196, 0.13045042753219604]",3,Punjab FC,"[0.019359713420271873, 0.12583598494529724, 0.017530282959342003, 0.16828776895999908, 0.02238043025135994, 0.023085450753569603, 0.01726337894797325, 0.018631834536790848, 0.024954086169600487, 0.01769210770726204]",0
4322860,Mumbai City FC,"[0.01924852654337883, 0.016018036752939224, 0.7860593199729919, 0.13659384846687317, 0.09652109444141388, 0.020770862698554993, 0.16879278421401978, 0.09209995716810226, 0.03932776302099228, 0.14475345611572266, 0.011631119064986706, 0.05026579648256302]",3,Northeast United FC,"[0.01738620176911354, 0.03101634420454502, 0.06453514099121094, 0.022951146587729454, 0.025749240070581436, 0.08837386965751648, 0.016314487904310226, 0.04179256036877632]",0
4322859,East Bengal FC,"[0.18473945558071136, 0.07509076595306396, 0.03249533101916313, 0.27805086970329285, 0.0625569075345993, 0.09471949934959412, 0.05184798687696457, 0.015019177459180355, 0.01705733686685562, 0.027709243819117546]",1,Jamshedpur FC,"[0.03397446870803833, 0.04798722267150879, 0.021429235115647316, 0.02775200456380844, 0.01270565576851368, 0.014443588443100452, 0.01402316801249981, 0.12211160361766815, 0.009328369982540607, 0.033318981528282166]",1
4322858,Bengaluru FC,"[0.07051818817853928, 0.014107072725892067, 0.014867538586258888, 0.20850428938865662, 0.010177143849432468, 0.01523508783429861, 0.10571213811635971, 0.01212912518531084, 0.04257119446992874, 0.016982046887278557, 0.026944072917103767]",0,Mohun Bagan SG,"[0.01638600043952465, 0.021555714309215546, 0.10229045897722244, 0.017168138176202774, 0.009476161561906338, 0.03792622685432434, 0.016206953674554825, 0.03303472325205803, 0.01715441793203354, 0.05081019923090935, 0.020429711788892746, 0.1301482766866684, 0.07582291960716248, 0.04829861968755722, 0.09002519398927689, 0.041612643748521805, 0.06564800441265106]",3
4322857,Odisha FC,"[0.014006655663251877, 0.039280716329813004, 0.019574325531721115, 0.9908375144004822, 0.010948934592306614, 0.014068144373595715, 0.7884]",1,Mumbai City FC,"[0.026136105880141258, 0.06828740239143372, 0.06913255155086517, 0.07717196643352509, 0.043439943343400955, 0.16069158911705017, 0.03793767839670181, 0.017851121723651886, 0.06076589226722717, 0.2149883210659027, 0.41430479288101196, 0.025000454857945442, 0.019601499661803246]",1
4322856,Chennaiyin FC,"[0.027208032086491585, 0.11103161424398422, 0.02426648698747158, 0.1474829912185669, 0.0168595053255558, 0.008410094305872917, 0.019739743322134018, 0.1155320480465889, 0.029315879568457603, 0.07674764841794968, 0.011279620230197906]",0,Northeast United FC,"[0.02578882686793804, 0.12726546823978424, 0.2204420417547226, 0.016904639080166817, 0.016233691945672035, 0.02358611300587654, 0.33643460273742676, 0.017724182456731796, 0.15349572896957397, 0.009241090156137943]",3
4322855,East Bengal FC,"[0.18772466480731964, 0.01614575833082199, 0.1985948085784912, 0.03860527649521828, 0.031102949753403664, 0.18754994869232178, 0.07013855129480362, 0.032180849462747574, 0.019141200929880142, 0.044125352054834366, 0.03819695860147476, 0.0415315181016922, 0.09230135381221771]",3,Hyderabad FC,"[0.0383506640791893, 0.38840043544769287, 0.01314183697104454, 0.33699145913124084]",0
4322854,Kerala Blasters FC,"[0.028051182627677917, 0.05830388516187668, 0.017952796071767807, 0.03659951686859131, 0.029684927314519882, 0.33086204528808594, 0.25973227620124817, 0.23069649934768677, 0.02158561535179615]",3,Jamshedpur FC,"[0.22291912138462067, 0.017649488523602486, 0.046066515147686005, 0.03146752342581749, 0.06595349311828613, 0.02010957896709442, 0.0410011000931263, 0.02324909158051014, 0.023601729422807693, 0.0191377941519022]",0
4322864,FC Goa,"[0.06614624708890915, 0.1455974578857422, 0.05722504109144211, 0.10370983183383942, 0.020520105957984924, 0.19735030829906464, 0.13126955926418304, 0.28252753615379333, 0.021697362884879112, 0.021609269082546234, 0.13753797113895416, 0.03138716146349907, 0.04764514043927193, 0.016739264130592346, 0.043106500059366226, 0.04396485164761543, 0.010114658623933792, 0.13368965685367584]",3,Punjab FC,"[0.01414372120052576, 0.019853919744491577, 0.03701072186231613, 0.036858461797237396, 0.08501360565423965, 0.035221491008996964, 0.02409450151026249, 0.019323481246829033]",0
4322865,East Bengal FC,"[0.021727530285716057, 0.21889427304267883, 0.03520650416612625, 0.09581484645605087, 0.13825447857379913, 0.0363103486597538, 0.031607963144779205, 0.11715846508741379, 0.0170066449791193, 0.023591522127389908, 0.05579221248626709, 0.097821444272995, 0.04144437611103058, 0.015403334982693195, 0.02720773033797741, 0.032030586153268814]",0,Bengaluru FC,"[0.06888909637928009, 0.7884, 0.04203919693827629, 0.019023770466446877, 0.04048098251223564]",3
4322866,Jamshedpur FC,"[0.01267990656197071, 0.027534598484635353, 0.1052229255437851, 0.011828933842480183, 0.019336601719260216, 0.022629495710134506, 0.061444465070962906, 0.048967793583869934, 0.08769803494215012, 0.0411471426486969, 0.03140774741768837, 0.04082786291837692, 0.04022683948278427, 0.045901812613010406, 0.05170084536075592, 0.2625454068183899]",3,Hyderabad FC,"[0.05786864832043648, 0.17583408951759338, 0.033064521849155426, 0.1086236834526062, 0.2868189215660095, 0.15514157712459564, 0.02326332964003086, 0.05837976559996605, 0.06713154166936874, 0.06929599493741989, 0.12491351366043091, 0.05139040946960449]",0
